Autoroute,Filliales,Société,avg_price_km_route,factorized_avg_price_km
A8,ESCOTA,Vinci Autoroutes,0.105518522,0.074592163
A50,ESCOTA,Vinci Autoroutes,0.117972915,0.117972915
A52,ESCOTA,Vinci Autoroutes,0.118036510,0.118036510
A51,ESCOTA,Vinci Autoroutes,0.136065711,0.136065711
A85,COFIROUTE,Vinci Autoroutes,0.089052627,0.089052627
A81,COFIROUTE,Vinci Autoroutes,0.108586547,0.108586547
A11,COFIROUTE,Vinci Autoroutes,0.116006098,0.084336111
A10,COFIROUTE,Vinci Autoroutes,0.116886381,0.095345440
A71,COFIROUTE,Vinci Autoroutes,0.112354785,0.068459959
A28,COFIROUTE,Vinci Autoroutes,0.131138634,0.067440479
A54,ASF,Vinci Autoroutes,0.083938455,0.083938455
A87,ASF,Vinci Autoroutes,0.081665901,0.081665901
A83,ASF,Vinci Autoroutes,0.096668809,0.096668809
A66,ASF,Vinci Autoroutes,0.091983071,0.091983071
A61,ASF,Vinci Autoroutes,0.098154554,0.098154554
A72,ASF,Vinci Autoroutes,0.096362908,0.096362908
A62,ASF,Vinci Autoroutes,0.098486444,0.098486444
A64,ASF,Vinci Autoroutes,0.098531509,0.098531509
A7,ASF,Vinci Autoroutes,0.102764861,0.102764861
A8,ASF,Vinci Autoroutes,0.105518522,0.028562354
A9,ASF,Vinci Autoroutes,0.104715703,0.104715703
A87N,ASF,Vinci Autoroutes,0.104367029,0.104367029
A7N,ASF,Vinci Autoroutes,0.104612912,0.104612912
A837,ASF,Vinci Autoroutes,0.110281114,0.110281114
A63,ASF,Vinci Autoroutes,0.111506659,0.111506659
A89,ASF,Vinci Autoroutes,0.114442113,0.114442113
A46,ASF,Vinci Autoroutes,0.107314817,0.018425649
A20,ASF,Vinci Autoroutes,0.111313544,0.111313544
A11,ASF,Vinci Autoroutes,0.116006098,0.031504223
A10,ASF,Vinci Autoroutes,0.116886381,0.023433267
A19,ARCOUR,Vinci Autoroutes,0.114407592,0.095621276
A410,AREA,Eiffarie,0.106487899,0.106487899
A430,AREA,Eiffarie,0.118096270,0.118096270
A49,AREA,Eiffarie,0.132087406,0.132087406
A48,AREA,Eiffarie,0.125485498,0.125485498
A480,AREA,Eiffarie,0.131363095,0.131363095
A43,AREA,Eiffarie,0.124322118,0.105677893
A41,AREA,Eiffarie,0.130258163,0.089130098
A26,APRR,Eiffarie,0.096986184,0.011687931
A105,APRR,Eiffarie,0.100461275,0.100461275
A31,APRR,Eiffarie,0.102547981,0.102547981
A5,APRR,Eiffarie,0.105096937,0.105096937
A39,APRR,Eiffarie,0.105738531,0.105738531
A6,APRR,Eiffarie,0.111151940,0.111151940
A46,APRR,Eiffarie,0.107314817,0.094126847
A19,APRR,Eiffarie,0.114407592,0.018506292
A36,APRR,Eiffarie,0.113794246,0.113794246
A71,APRR,Eiffarie,0.112354785,0.044907404
A432,APRR,Eiffarie,0.117572437,0.117572437
A40,APRR,Eiffarie,0.116197193,0.038141584
A77,APRR,Eiffarie,0.128213237,0.128213237
A75,APRR,Eiffarie,0.132456875,0.132456875
A391,APRR,Eiffarie,0.170628593,0.170628593
A65,ALIENOR,Eiffarie,0.149106886,0.149106886
A41,ADELAC,Eiffarie,0.130258163,0.048473657
A43,SFTRF,Autre,0.124322118,0.018646366
A40,ATMB,Autre,0.116197193,0.078493527
A41N,ATMB,Autre,0.141972046,0.141972046
A28,ALIS,Autre,0.131138634,0.063855367
A88,ALICORNE,Autre,0.148676588,0.148676588
A29,SAPN,Abertis,0.110005998,0.055290864
A132,SAPN,Abertis,0.104211312,0.104211312
A13,SAPN,Abertis,0.112311875,0.112311875
A139,SAPN,Abertis,0.126125255,0.126125255
A131,SAPN,Abertis,0.148210177,0.148210177
A150,SAPN,Abertis,0.166244008,0.166244008
A2,SANEF,Abertis,0.094418775,0.094418775
A1,SANEF,Abertis,0.096377566,0.096377566
A4,SANEF,Abertis,0.094515750,0.094515750
A26,SANEF,Abertis,0.096986184,0.085859927
A29,SANEF,Abertis,0.110005998,0.047811571
A16,SANEF,Abertis,0.103826126,0.103826126
A344,SANEF,Abertis,0.105528488,0.105528488
